rank,est. tickets,movieName,year,DW,CJH,DJ,LAK,SW,LR,GP,MN,ZBP,AH ,Max Breslin,IA,LTM,AHT,EG,WR,FM,KX,MS,sc,AP,,,,,,,,,,,,,,,,
1,"202,286,200",Gone with the Wind,1939,8,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,4,-1000,-1000,-1000,-1000,-1000,-1000,-1000,,,,,,,,,,,,,,,,
2,"178,119,500",Star Wars,1977,9,8,8,10,6,9,9,9,7,7,8,9,10,8,9,-1000,9,9,8,9,8,,,,,,,,,,,,,,,,
3,"142,485,200",The Sound of Music,1965,7,-1000,-1000,-1000,-1000,-1000,6,-1000,-1000,-1000,-1000,-1000,-1000,7,6,-1000,-1000,-1000,-1000,-1000,8,,,,,,,,,,,,,,,,
4,"141,854,300",E.T. the Extra-Terrestrial,1982,7,6,-1000,-1000,-1000,6,-1000,-1000,7,-1000,6,-1000,10,4,1,-1000,7,9,4,-1000,-1000,,,,,,,,,,,,,,,,
5,"135,549,800",Titanic,1997,7,-1000,4,-1000,8,-1000,-1000,-1000,-1000,5,6,-1000,9,5,7,-1000,-1000,-1000,-1000,-1000,8,,,,,,,,,,,,,,,,
6,"131,000,000",The Ten Commandments,1956,7,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,7,,,,,,,,,,,,,,,,
7,"128,078,800",Jaws,1975,8,-1000,-1000,-1000,-1000,-1000,-1000,-1000,8,-1000,7,-1000,9,-1000,6,-1000,-1000,-1000,-1000,-1000,7,,,,,,,,,,,,,,,,
10,"109,000,000",Snow White and the Seven Dwarfs,1937,-1000,4,-1000,-1000,8,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,7,3,-1000,-1000,-1000,-1000,6,6,,,,,,,,,,,,,,,,
11,"108,115,100",Star Wars: The Force Awakens,2015,-1000,8,-1000,3,8,6,4,6,7,-1000,8,7,3,8,8,-1000,5,7,1,7,8,,,,,,,,,,,,,,,,
12,"99,917,300",One Hundred and One Dalmatians,1961,-1000,4,-1000,-1000,7,-1000,-1000,-1000,6,-1000,-1000,-1000,-1000,7,5,-1000,-1000,-1000,5,6,8,,,,,,,,,,,,,,,,
13,"98,105,100",The Empire Strikes Back,1980,-1000,8,-1000,7,-1000,8,8,9,7,-1000,8,9,10,-8,10,-1000,9,8,9,9,5,,,,,,,,,,,,,,,,
15,"97,309,500",Avatar,2009,9,0,-1000,3,-1000,-1000,-1000,-1000,8,8.5,-1000,-1000,5,10,-1000,-1000,-1000,-1000,3,10,9,,,,,,,,,,,,,,,,
16,"95,268,900",Avengers: Endgame,2019,-1000,9,5,3,-1000,-1000,8,9,-1000,9,5,8,2,9,9.5,-1000,10,10,10,10,8,,,,,,,,,,,,,,,,
17,"94,059,400",Return of the Jedi,1983,7,7,-1000,5,8,10,8,10,7,-1000,6,9,10,8,9,-1000,10,-1000,9,9,8,,,,,,,,,,,,,,,,
18,"91,664,200",Jurassic Park,1993,7,7,-1000,6,-1000,-1000,-1000,-1000,7,9,8,-1000,10,7,7,-1000,7,9,6,8,8,,,,,,,,,,,,,,,,
19,"90,312,100",Star Wars: Episode I – The Phantom Menace,1999,-1000,2,-1000,10,-1000,5,10,7,7,-1000,7,-1000,10,8,7,-1000,6,8,7,7,8,,,,,,,,,,,,,,,,
20,"89,146,400",The Lion King,1994,6,9,5,5,6,6,5,-1000,2,7,8,-1000,-1000,8,8,7,-1000,-1000,6,6,8,,,,,,,,,,,,,,,,
22,"88,543,400",Raiders of the Lost Ark,1981,8,7,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,5,-1000,9,6,-1000,-1000,-1000,-1000,-1000,6,8,,,,,,,,,,,,,,,,
24,"83,043,500",Fantasia,1941,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,5,-1000,2,8,,,,,,,,,,,,,,,,
26,"78,637,100",Forrest Gump,1994,7,7,-1000,-1000,-1000,-1000,-1000,-1000,10,-1000,-1000,-1000,9,-1000,-1000,-1000,-1000,-1000,-1000,-1000,8,,,,,,,,,,,,,,,,
27,"78,181,800",Mary Poppins,1964,-1000,6,-1000,-1000,-1000,-1000,-1000,-1000,4,-1000,4,-1000,-1000,5,6,-1000,-1000,-1000,-1000,4,8,,,,,,,,,,,,,,,,
28,"77,098,600",Grease,1978,6,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,7,-1000,-1000,-1000,-1000,-1000,8,,,,,,,,,,,,,,,,
29,"76,881,200",The Avengers,2012,-1000,8,5,3,-1000,-1000,7,-1000,6,9,7,8,3,8,8,-1000,9,-1000,10,10,9,,,,,,,,,,,,,,,,
30,"76,789,600",Jurassic World,2015,-1000,9,6,5,-1000,-1000,-1000,-1000,-1000,9.5,8,-1000,7,-1000,-1000,-1000,-1000,-1000,-1000,8,8,,,,,,,,,,,,,,,,
31,"76,272,300",Black Panther,2018,-1000,10,-1000,-1000,-1000,-1000,7,10,6,9,9,10,-1000,10,9.5,-1000,8,-1000,10,10,9,,,,,,,,,,,,,,,,
33,"74,506,000",The Dark Knight,2008,8,-1000,5,-1000,-1000,-1000,-1000,-1000,-1000,7,7,-1000,9,8,-1000,-1000,-1000,-1000,7,10,9,,,,,,,,,,,,,,,,
35,"72,676,000",Sleeping Beauty,1959,-1000,-1000,-1000,-1000,4,-1000,-1000,-1000,-1000,-1000,5,-1000,-1000,5,5,-1000,-1000,-1000,-1000,6,6,,,,,,,,,,,,,,,,
36,"72,419,700",Avengers: Infinity War,2018,-1000,8.5,6,8,-1000,-1000,8,8,-1000,8,6,9,3,8,9.5,-1000,8,-1000,10,10,10,,,,,,,,,,,,,,,,
37,"71,173,700",Ghostbusters,1984,5,9,8,-1000,-1000,-1000,-1000,-1000,8,-1000,9,-1000,9,6,6,-1000,7,-1000,7,5,8,,,,,,,,,,,,,,,,
38,"71,050,900",Shrek 2,2004,9,-1000,-1000,-1000,-1000,11,-1000,10,2,-1000,5,-1000,-1000,-1000,7,6,-1000,-1000,10,1,8,,,,,,,,,,,,,,,,
39,"70,626,300",Spider-Man,2002,-1000,10,-1000,10,8,-1000,7,-1000,3,8,9,-1000,8,8,8,-1000,-1000,-1000,8,5,8,,,,,,,,,,,,,,,,
43,"67,734,200",Home Alone,1990,-1000,10,7,5,7,-1000,6,6,-1000,7,9,-1000,-1000,7,6,-1000,7,8,6,8,8,,,,,,,,,,,,,,,,
44,"67,594,500",Star Wars: The Last Jedi,2017,-1000,8,-1000,-1000,8,3,5,4,7,-1000,5,6,1,8,8,-1000,5,6,1,7,8,,,,,,,,,,,,,,,,
48,"66,300,000",Goldfinger,1964,8,-1000,-1000,3,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,8,,,,,,,,,,,,,,,,
49,"66,299,200",Incredibles 2,2018,-1000,7,5,-1000,-1000,7,-1000,6,7,-1000,5,9,-1000,8,7,6,6,-1000,9,7,8,,,,,,,,,,,,,,,,
53,"64,628,400",Pirates of the Caribbean: Dead Man's Chest,2006,-1000,9,-1000,10,-1000,-1000,-1000,-1000,9,-1000,5,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,5,8,,,,,,,,,,,,,,,,
55,"63,712,400",Bambi,1942,-1000,-1000,5,-1000,-1000,-1000,-1000,-1000,-1000,-1000,4,-1000,-1000,-1000,4,-1000,-1000,-1000,-1000,6,8,,,,,,,,,,,,,,,,
59,"61,639,700",The Lord of the Rings: The Return of the King,2003,8,-1000,-1000,5,-1000,-1000,8,-1000,-1000,8.5,2,-1000,9,8,-1000,-1000,7,-1000,-1000,7,8,,,,,,,,,,,,,,,,
60,"61,586,500",Finding Nemo,2003,8,8,3,3,5,8,-1000,-1000,8,-1000,3,-1000,-1000,7,6,6,-1000,-1000,6,6,8,,,,,,,,,,,,,,,,
62,"60,441,600",Rogue One: A Star Wars Story,2016,-1000,6,-1000,1,-1000,6,-1000,9,6,-1000,-1000,10,8,8,7,-1000,8,-1000,-1000,10,8,,,,,,,,,,,,,,,,
63,"60,322,700",The Lion King,2019,-1000,9,6,-1000,8,-1000,-1000,-1000,1,7,8,-1000,-1000,9,8,2,-1000,-1000,-1000,6,8,,,,,,,,,,,,,,,,
64,"60,301,400",Cinderella,1950,-1000,-1000,3,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,1,4,-1000,-1000,-1000,-1000,6,8,,,,,,,,,,,,,,,,
65,"60,158,700",Spider-Man 2,2004,-1000,10,-1000,-1000,9,-1000,-1000,-1000,-1000,8,8,-1000,8,-1000,-1000,-1000,-1000,-1000,8,5,8,,,,,,,,,,,,,,,,
70,"59,324,600",Star Wars: Episode III – Revenge of the Sith,2005,6,5,-1000,10,-1000,7,9,9,8,-1000,5,-1000,10,8,7,-1000,9,9,7,8,8,,,,,,,,,,,,,,,,
71,"59,240,400",Back to the Future,1985,7,10,-1000,3,-1000,-1000,-1000,-1000,9,-1000,6,-1000,9,5,-1000,-1000,8,-1000,-1000,1,8,,,,,,,,,,,,,,,,
72,"57,725,400",The Lord of the Rings: The Two Towers,2002,9,-1000,-1000,5,-1000,-1000,8,-1000,-1000,8.5,-1000,-1000,10,10,-1000,-1000,7,-1000,-1000,8,8,,,,,,,,,,,,,,,,
73,"57,581,800",The Dark Knight Rises,2012,9,3,-1000,-1000,-1000,-1000,-1000,-1000,-1000,8,-1000,-1000,8,-1000,-1000,-1000,-1000,-1000,8,10,10,,,,,,,,,,,,,,,,
78,"56,798,200",Beauty and the Beast,2017,-1000,4,4,-1000,10,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,7,6,-1000,-1000,-1000,6,6,8,,,,,,,,,,,,,,,,
79,"56,158,100",Finding Dory,2016,8,7,3,1,5,6,-1000,-1000,6,-1000,-1000,-1000,-1000,5,6,7,-1000,-1000,5,6,8,,,,,,,,,,,,,,,,
80,"56,143,200",Harry Potter and the Sorcerer's Stone,2001,-1000,10.5,-1000,5,-1000,8,8,-1000,4,7,6,-1000,8,6,8,-1000,7,-1000,-1000,8,8,,,,,,,,,,,,,,,,
81,"56,012,800",West Side Story,1961,8,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,7,-1000,-1000,-1000,-1000,-1000,-1000,8,,,,,,,,,,,,,,,,
82,"55,922,700",Close Encounters of the Third Kind,1977,7,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,8,-1000,-1000,-1000,-1000,-1000,-1000,-1000,8,,,,,,,,,,,,,,,,
88,"54,968,000",Star Wars: The Rise of Skywalker,2019,-1000,8,-1000,1,-1000,7,6,6,4,-1000,6,3,1,8,8,-1000,5,7,1,8,8,,,,,,,,,,,,,,,,
90,"54,799,300",The Lord of the Rings: The Fellowship of the Ring,2001,8,-1000,-1000,7,-1000,-1000,8,-1000,-1000,7,-1000,-1000,10,9,-1000,-1000,7,-1000,-1000,8,8,,,,,,,,,,,,,,,,
94,"53,900,900",Transformers: Revenge of the Fallen,2009,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,9,6,-1000,1,-1000,-1000,-1000,-1000,-1000,7,6,8,,,,,,,,,,,,,,,,
99,"53,532,800",Indiana Jones and the Temple of Doom,1984,7,6,-1000,5,-1000,-1000,-1000,-1000,6,-1000,7,-1000,8,6,-1000,-1000,-1000,-1000,-1000,6,8,,,,,,,,,,,,,,,,
100,"53,468,500",Star Wars: Episode II – Attack of the Clones,2002,-1000,-2,-1000,999,-1000,7,7,7,8,-1000,7,-1000,10,8,6,-1000,7,8,6,-1000,8,,,,,,,,,,,,,,,,
,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
